 || CREATION || Application started. || 2026-09-24T23:52:35.145Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:52:38.163Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:52:38.169Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:52:38.207Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:52:38.218Z 
 || CREATION || Application started. || 2026-09-24T23:53:55.872Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:53:58.890Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:53:58.894Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:53:58.933Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:53:58.947Z 
 || CREATION || Application started. || 2026-09-24T23:55:03.624Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:55:06.643Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:55:06.646Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:55:06.685Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:55:06.697Z 
 || CREATION || Application started. || 2026-09-24T23:55:19.806Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:55:22.815Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:55:22.818Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:55:22.856Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:55:22.868Z 
 || CREATION || Application started. || 2026-09-24T23:55:28.452Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:55:31.455Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:55:31.458Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:55:31.496Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:55:31.508Z 
 || CREATION || Application started. || 2026-09-24T23:55:46.320Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:55:49.323Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:55:49.329Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:55:49.366Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:55:49.378Z 
 || CREATION || Application started. || 2026-09-24T23:56:15.383Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:56:18.387Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:56:18.390Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:56:18.430Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:56:18.443Z 
 || CREATION || Application started. || 2026-09-25T00:00:15.074Z 
 || INFO || Starting CCN Watcher || 2026-09-25T00:00:18.086Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T00:00:18.090Z 
 || INFO || Connected to MongoDB || 2026-09-25T00:00:18.123Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T00:00:18.134Z 
 || INFO || Starting manifestInfo details || 2026-09-25T00:00:18.146Z 
 || CREATION || Application started. || 2026-09-25T00:01:09.967Z 
 || INFO || Starting CCN Watcher || 2026-09-25T00:01:12.983Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T00:01:12.986Z 
 || INFO || Connected to MongoDB || 2026-09-25T00:01:13.023Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T00:01:13.036Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T00:01:13.048Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T00:01:13.057Z 
 || CREATION || Application started. || 2026-09-25T00:01:28.589Z 
 || INFO || Starting CCN Watcher || 2026-09-25T00:01:31.600Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T00:01:31.608Z 
 || INFO || Connected to MongoDB || 2026-09-25T00:01:31.643Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T00:01:31.655Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T00:01:31.666Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T00:01:31.677Z 
 || CREATION || Application started. || 2026-09-25T00:01:50.734Z 
 || CREATION || Application started. || 2026-09-25T00:01:53.619Z 
 || INFO || Starting CCN Watcher || 2026-09-25T00:01:56.626Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T00:01:56.631Z 
 || INFO || Connected to MongoDB || 2026-09-25T00:01:56.666Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T00:01:56.678Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T00:01:56.691Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T00:01:56.702Z 
 || CREATION || Application started. || 2026-09-25T00:02:22.392Z 
 || INFO || Starting CCN Watcher || 2026-09-25T00:02:25.411Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T00:02:25.414Z 
 || INFO || Connected to MongoDB || 2026-09-25T00:02:25.448Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T00:02:25.462Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T00:02:25.475Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T00:02:25.487Z 
 || CREATION || Application started. || 2026-09-25T00:02:56.745Z 
 || INFO || Starting CCN Watcher || 2026-09-25T00:02:59.751Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T00:02:59.757Z 
 || INFO || Connected to MongoDB || 2026-09-25T00:02:59.794Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T00:02:59.806Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T00:02:59.818Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T00:02:59.828Z 
 || CREATION || Application started. || 2026-09-25T01:09:27.761Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:09:30.778Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:09:30.781Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:09:30.816Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:09:30.828Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:09:30.842Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:09:30.854Z 
 || CREATION || Application started. || 2026-09-25T01:09:39.996Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:09:43.002Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:09:43.008Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:09:43.044Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:09:43.056Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:09:43.073Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:09:43.085Z 
 || CREATION || Application started. || 2026-09-25T01:09:53.956Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:09:56.966Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:09:56.969Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:09:57.002Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:09:57.017Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:09:57.030Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:09:57.041Z 
 || CREATION || Application started. || 2026-09-25T01:10:08.712Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:10:11.717Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:10:11.721Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:10:11.759Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:10:11.772Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:10:11.784Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:10:11.796Z 
 || CREATION || Application started. || 2026-09-25T01:10:38.546Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:10:41.561Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:10:41.564Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:10:41.606Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:10:41.623Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:10:41.640Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:10:41.651Z 
 || CREATION || Application started. || 2026-09-25T01:13:27.596Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:13:30.609Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:13:30.614Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:13:30.651Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:13:30.664Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:13:30.677Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:13:30.689Z 
 || CREATION || Application started. || 2026-09-25T01:13:44.496Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:13:47.512Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:13:47.516Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:13:47.553Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:13:47.569Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:13:47.581Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:13:47.592Z 
